,year,industry,count,rate,total
0,2000,Agriculture,134.0,0.09,1494.0
1,2000,Business services,574.0,0.048,12015.0
2,2000,Construction,513.0,0.063,8208.0
3,2000,Education and Health,383.0,0.025,15666.0
4,2000,Finance,208.0,0.024,8626.0
5,2000,Government,422.0,0.021,19862.0
6,2000,Information,124.0,0.032,3878.0
7,2000,Leisure and hospitality,720.0,0.066,10857.0
8,2000,Manufacturing,691.0,0.035,19969.0
9,2000,Mining and Extraction,21.0,0.044,483.0
10,2000,Other,219.0,0.039,5620.0
11,2000,Self-employed,219.0,0.021,10512.0
12,2000,Transportation and Utilities,194.0,0.034,5618.0
13,2000,Wholesale and Retail Trade,837.0,0.043,19468.0
14,2001,Agriculture,153.0,0.113,1368.0
15,2001,Business services,768.0,0.061,12541.0
16,2001,Construction,609.0,0.071,8662.0
17,2001,Education and Health,464.0,0.028,16359.0
18,2001,Finance,252.0,0.029,8790.0
19,2001,Government,430.0,0.022,19738.0
20,2001,Information,190.0,0.049,3892.0
21,2001,Leisure and hospitality,833.0,0.075,11120.0
22,2001,Manufacturing,992.0,0.052,18995.0
23,2001,Mining and Extraction,23.0,0.042,533.0
24,2001,Other,229.0,0.04,5716.0
25,2001,Self-employed,218.0,0.021,10467.0
26,2001,Transportation and Utilities,236.0,0.042,5577.0
27,2001,Wholesale and Retail Trade,945.0,0.049,19417.0
28,2002,Agriculture,139.0,0.103,1368.0
29,2002,Business services,1009.0,0.079,12816.0
30,2002,Construction,800.0,0.092,8690.0
31,2002,Education and Health,570.0,0.034,17002.0
32,2002,Finance,320.0,0.036,8998.0
33,2002,Government,512.0,0.025,20236.0
34,2002,Information,253.0,0.069,3644.0
35,2002,Leisure and hospitality,961.0,0.084,11477.0
36,2002,Manufacturing,1205.0,0.067,18098.0
37,2002,Mining and Extraction,33.0,0.063,522.0
38,2002,Other,301.0,0.051,5892.0
39,2002,Self-employed,265.0,0.026,10250.0
40,2002,Transportation and Utilities,274.0,0.049,5588.0
41,2002,Wholesale and Retail Trade,1202.0,0.061,19720.0
42,2003,Agriculture,140.0,0.104,1370.0
43,2003,Business services,1042.0,0.082,12627.0
44,2003,Construction,810.0,0.093,8718.0
45,2003,Education and Health,640.0,0.036,17663.0
